CtNumero;NU_ProcessoLicitacao;CtVigenciaInicio;CtVigenciaTermino2;Tempo;OrNome;Credor;ObNome;CtValorTotal;Textbox7;CtValorTotal1
0163/2023;30.000.002758.2023;29/12/2023;28/12/2024;12;SEAD - 19.0001;964.259.034-49 - MARCOS ANDRE DE CRUZ MARQUES;LOCAÇÃO DE BENS IMÓVEIS;26.400,00;7.452 CONTRATOS;14.786.237.936,49
0177/2023;30.000.002534.2023;29/12/2023;28/12/2024;12;SEAD - 19.0001;026.714.994-85 - CLEDIJANE ALVES DA SILVA;LOCAÇÃO DE BENS IMÓVEIS;11.400,00;7.452 CONTRATOS;14.786.237.936,49
0211/2023;30.000.000350.2023;29/12/2023;28/12/2024;12;SEAD - 19.0001;048.323.824-46 - VALMIR PEREIRA DA SILVA;LOCAÇÃO DE BENS IMÓVEIS;80.400,00;7.452 CONTRATOS;14.786.237.936,49
0307/2023;;29/12/2023;29/02/2024;2;UEPB - 35.0401;07.275.920/0001-61 - LENOVO TECNOLOGIA (BRASIL) LIMITADA;MATERIAL PERMANENTE;2.940.605,43;7.452 CONTRATOS;14.786.237.936,49
1728/2023;27.000.08299.2023;29/12/2023;29/02/2024;2;SEDH - 27.0001;02.212.119/0001-53 - AUTO CAR SERVICOS DE LOCACAO E TURISMO LTDA;LOCAÇÃO DE VEÍCULOS;51.990,00;7.452 CONTRATOS;14.786.237.936,49
1732/2023;27.000.002475.2023;29/12/2023;29/02/2024;2;SEDH - 27.0001;07.227.808/0001-55 - BJ COMÉRCIO DE ALIMENTOS LTDA;MATERIAL DE LIMPEZA E EMBALAGEM;18.200,32;7.452 CONTRATOS;14.786.237.936,49
0016/2023;19.000.000007.2023;27/12/2023;27/12/2024;12;AESA - 31.0801;16.670.085/0001-55 - LOCALIZA RENT A CAR SA;LOCAÇÃO DE VEÍCULOS;190.368,00;7.452 CONTRATOS;14.786.237.936,49
0023/2023;31.000.002121.2023;27/12/2023;27/03/2024;3;SEIRH - 31.0001;00.118.689/0001-53 - R. M. MAQUINAS E EQUIPAMENTOS LTDA - EPP;AQUISIÇÃO DE BENS MÓVEIS;1.058.705,00;7.452 CONTRATOS;14.786.237.936,49
0024/2023;31.000.002121.2023;27/12/2023;27/06/2024;6;SEIRH - 31.0001;08.811.812/0001-29 - INDÚSTRIA YVEL LTDA;AQUISIÇÃO DE BENS MÓVEIS;1.586.912,37;7.452 CONTRATOS;14.786.237.936,49
0033/2023;070000010422023;27/12/2023;31/12/2023;0;SEJEL - 07.0001;30.956.229/0001-65 -  PRIDE EVENTOS PRODUCOES E SERVICOS LTDA;LOCAÇÃO DE MÁQUINAS E EQUIPAMENTOS;24.000,00;7.452 CONTRATOS;14.786.237.936,49
0033/2023;20.000.300325.2023;27/12/2023;26/12/2025;24;SEFAZ - 20.0001;12.518.352/0001-12 - ECONTECX  CONSTRUCOES E EMPREENDIMENTOS LTDA-ME;SERVIÇO ESPECIALIZADO NA ÁREA DE ENGENHARIA;4.648.862,41;7.452 CONTRATOS;14.786.237.936,49
0034/2023;20.000.300325.2023;27/12/2023;26/12/2025;24;SEFAZ - 20.0001;12.518.352/0001-12 - ECONTECX  CONSTRUCOES E EMPREENDIMENTOS LTDA-ME;SERVIÇO ESPECIALIZADO NA ÁREA DE ENGENHARIA;2.447.861,44;7.452 CONTRATOS;14.786.237.936,49
0035/2023;20.000.300325.2023;27/12/2023;26/12/2025;24;SEFAZ - 20.0001;12.518.352/0001-12 - ECONTECX  CONSTRUCOES E EMPREENDIMENTOS LTDA-ME;SERVIÇO ESPECIALIZADO NA ÁREA DE ENGENHARIA;2.077.390,01;7.452 CONTRATOS;14.786.237.936,49
0036/2023;20.000.300325.2023;27/12/2023;26/12/2025;24;SEFAZ - 20.0001;12.518.352/0001-12 - ECONTECX  CONSTRUCOES E EMPREENDIMENTOS LTDA-ME;SERVIÇO ESPECIALIZADO NA ÁREA DE ENGENHARIA;2.232.987,80;7.452 CONTRATOS;14.786.237.936,49
0037/2023;20.000.300325.2023;27/12/2023;26/12/2025;24;SEFAZ - 20.0001;12.518.352/0001-12 - ECONTECX  CONSTRUCOES E EMPREENDIMENTOS LTDA-ME;SERVIÇO ESPECIALIZADO NA ÁREA DE ENGENHARIA;2.089.996,13;7.452 CONTRATOS;14.786.237.936,49
0057/2023;23.901.000167.2023;27/12/2023;31/12/2023;0;FUNESBOM - 57.0001 ;35.028.285/0001-53 - FORTE PNEUS COMÉRCIO E SERVIÇOS LTDA.;MATERIAL DE CONSUMO;56.000,00;7.452 CONTRATOS;14.786.237.936,49
0144/2023;26.201.021571.2023;28/12/2023;27/12/2024;12;DETRAN - 26.0101;15.128.684/0001-89 - CAPP CLINICA DE AVALIACAO PSICOLOGICA DE PATOS LTDA;OUTROS SERVIÇOS ESPECIALIZADOS;12.173,04;7.452 CONTRATOS;14.786.237.936,49
0253/2023;31.206.014366.2023;28/12/2023;28/12/2024;12;CAGEPA - 31.0601;58.514.928/0033-51 - MEXICHEM BRASIL INDÚSTRIA DE TRANSFORMAÇÃO PLÁSTICA LTDA;MATERIAL DE USO ESPECÍFICO;495.609,84;7.452 CONTRATOS;14.786.237.936,49
0294/2023;22.204.6902023.2023;28/12/2023;28/02/2024;2;UEPB - 35.0401;19.918.704/0001-76 - ODONTOMED COMERCIO SERVICOS E LOCACOES LTDA;MATERIAL PERMANENTE;1.647.765,00;7.452 CONTRATOS;14.786.237.936,49
0296/2023;22.204.000676.2023;28/12/2023;28/02/2024;2;UEPB - 35.0401;05.570.101/0001-11 - MARCOS ANTONIO FERREIRA DA SILVA;MATERIAL PERMANENTE;304.933,50;7.452 CONTRATOS;14.786.237.936,49
0297/2023;22.204.000676.2023;28/12/2023;28/02/2024;2;UEPB - 35.0401;05.869.012/0001-70 - SOLAB EQUIPAMENTOS PARA LABORATORIOS LTDA;MATERIAL PERMANENTE;355.610,00;7.452 CONTRATOS;14.786.237.936,49
0299/2023;22.204.000676.2023;28/12/2023;28/02/2024;2;UEPB - 35.0401;11.516.136/0001-75 - BRASIL MÉDICO LABORATORIAL LTDA;MATERIAL PERMANENTE;267.747,45;7.452 CONTRATOS;14.786.237.936,49
0302/2023;22.204.000676.2023;28/12/2023;28/02/2024;2;UEPB - 35.0401;47.010.566/0001-68 - TECNAL INDUSTRIA, COMERCIO, IMPORTACAO E EXPORTACAO DE EQUIPAMENTOS PARA LABORAT;MATERIAL PERMANENTE;39.315,00;7.452 CONTRATOS;14.786.237.936,49
0303/2023;22.204.013902.2023;28/12/2023;28/02/2024;2;UEPB - 35.0401;08.149.518/0001-01 - ODIN COMPRESSORES LTDA;MATERIAL PERMANENTE;118.490,00;7.452 CONTRATOS;14.786.237.936,49
0304/2023;22.204.013915.2023;28/12/2023;28/02/2024;2;UEPB - 35.0401;59.233.783/0004-49 - STERIS SOLUTIONS DO BRASIL IMPORTACAOECOMERCIALIZACAO DE PRODUTOS DA SAUDE LTDA;MATERIAL PERMANENTE;751.711,68;7.452 CONTRATOS;14.786.237.936,49
0305/2023;22.204.013914.2023;28/12/2023;28/02/2024;2;UEPB - 35.0401;55.979.736/0001-45 - ALLIAGE S/A INDUSTRIAS MEDICO ODONTOLOGICA;MATERIAL PERMANENTE;1.441.000,00;7.452 CONTRATOS;14.786.237.936,49
0126/2023;15.000.000159.2023;27/12/2023;31/12/2023;0;PM/PB - 15.0001;50.506.565/0001-13 - OGATTI IMPORTS;MATERIAL DE CONSUMO;24.882,00;7.452 CONTRATOS;14.786.237.936,49
0127/2023;15.000.000127.2023;27/12/2023;31/12/2023;0;PM/PB - 15.0001;13.104.805/0001-27 - F. F. N. FORNAZARI;MATERIAL PERMANENTE;38.400,00;7.452 CONTRATOS;14.786.237.936,49
0136/2023;26.201.035253.2023;27/12/2023;27/03/2024;3;DETRAN - 26.0101;48.572.327/0001-64 - EDSON DE ALBUQUERQUE BEZERRA (COMERCIAL EDSON);OUTROS SERVIÇOS ESPECIALIZADOS;8.500,00;7.452 CONTRATOS;14.786.237.936,49
0192/2023;30.000.025056.2023;27/12/2023;26/12/2024;12;SEAD - 19.0001;910.650.117-68 - EDVAN FELIPE CALADO;LOCAÇÃO DE BENS IMÓVEIS;81.600,00;7.452 CONTRATOS;14.786.237.936,49
0202/2023;25.510.201012.2023;27/12/2023;27/12/2024;12;FPGS 25.5101;58.295.213/0023-83 - PHILIPS MEDICAL SYSTEMS LTDA;SERVIÇO ESPECIALIZADO;380.891,14;7.452 CONTRATOS;14.786.237.936,49
0204/2023;30.000.004400.2023;27/12/2023;26/12/2024;12;SEAD - 19.0001;16.670.085/0001-55 - LOCALIZA RENT A CAR S/A;LOCAÇÃO DE VEÍCULOS;85.475,70;7.452 CONTRATOS;14.786.237.936,49
0207/2023;30.000.004503.2023;27/12/2023;26/12/2024;12;SEAD - 19.0001;05.891.441/0001-44 - F & C PARTICIPAÇÕES E ADMINISTRAÇÕES LTDA;LOCAÇÃO DE BENS IMÓVEIS;72.780,00;7.452 CONTRATOS;14.786.237.936,49
0209/2023;30.000.001289.2023;27/12/2023;26/12/2024;12;SEAD - 19.0001;035.085.004-62 - SEBASTIANA DUARTE DANIEL;LOCAÇÃO DE BENS IMÓVEIS;7.800,00;7.452 CONTRATOS;14.786.237.936,49
0215/2023;25.510.004094.2023 ;27/12/2023;27/06/2024;6;FPGS 25.5101;12.040.718/0001-90 - GRADUAL COMERCIO E SERVICOS LTDA;AQUISIÇÃO DE EQUIPAMENTOS HOSPITALARES;90.950,00;7.452 CONTRATOS;14.786.237.936,49
0243/2023;25.510.011101.2023 ;27/12/2023;24/06/2024;6;FPGS 25.5101;03.160.525/0001-82 - NORT FRUT EIRELI;GÊNEROS ALIMENTÍCIOS;126.614,90;7.452 CONTRATOS;14.786.237.936,49
0247/2023;25.510.019103.2023;27/12/2023;27/06/2024;6;FPGS 25.5101;30.911.924/0001-00 - TEM DE TUDO COMERCIO E SERVICOS LTDA;GÊNEROS ALIMENTÍCIOS;5.867,40;7.452 CONTRATOS;14.786.237.936,49
0254/2023;31.206.014366.2023;27/12/2023;27/12/2024;12;CAGEPA - 31.0601;05.625.268/0001-32 - JUNÇÃO COMÉRCIO E SERVIÇOS LTDA;MATERIAL DE USO ESPECÍFICO;450.819,54;7.452 CONTRATOS;14.786.237.936,49
0256/2023;31.206.043069.2023;27/12/2023;25/12/2024;12;CAGEPA - 31.0601;09.377.459/0001-83 - KAIRÓS SEGURANÇA LTDA;SERVIÇO ESPECIALIZADO NA ÁREA DE SEGURANÇA;5.654.479,17;7.452 CONTRATOS;14.786.237.936,49
0266/2023;25.510.007063.2023;27/12/2023;27/12/2024;12;FPGS 25.5101;67.729.178/0006-53 - COMERCIAL CIRURGICA RIOCLARENSE LTDA;MEDICAMENTOS;9.840,00;7.452 CONTRATOS;14.786.237.936,49
0271/2023;25.510.007063.2023 ;27/12/2023;27/12/2024;12;FPGS 25.5101;26.921.908/0002-02 -  HOSPFAR INDÚSTRIA E COMÉRCIO DE PRODUTOS HOSPITALARES S.A;MEDICAMENTOS;202.062,50;7.452 CONTRATOS;14.786.237.936,49
0272/2023;25.510.007063.2023 ;27/12/2023;27/12/2024;12;FPGS 25.5101;94.389.400/0001-84 - MCW PRODUTOS MEDICOS E HOSPITALARES LTDA;MEDICAMENTOS;30.346,20;7.452 CONTRATOS;14.786.237.936,49
0295/2023;25.510.025101.2023;27/12/2023;24/06/2024;6;FPGS 25.5101;26.290.355/0001-56 - LM DISTRIBUIDORA EIRELI ;GÊNEROS ALIMENTÍCIOS;14.859,80;7.452 CONTRATOS;14.786.237.936,49
0296/2023;25.510.025101.2023;27/12/2023;24/06/2024;6;FPGS 25.5101;17.698.441/0001-01 - POLPA NORDESTE INDUSTRIA E COMERCIO LTDA ;GÊNEROS ALIMENTÍCIOS;119.880,70;7.452 CONTRATOS;14.786.237.936,49
0299/2023;25.510.025101.2023;27/12/2023;27/06/2024;6;FPGS 25.5101;21.778.760/0001-02 - JF CARNES E FRIOS COMERCIO LTDA;GÊNEROS ALIMENTÍCIOS;143.500,00;7.452 CONTRATOS;14.786.237.936,49
0301/2023;25.510.025101.2023;27/12/2023;24/06/2024;6;FPGS 25.5101;05.672.519/0001-30 - PADARIA PONTES LTDA;GÊNEROS ALIMENTÍCIOS;32.959,88;7.452 CONTRATOS;14.786.237.936,49
0010/2023;;22/12/2023;21/12/2024;12;CGE - 11.0001 ;709.898.894-40 - FELIPE AUGUSTO TORRES ARRUDA;CONTRATAÇÃO DE BOLSISTAS;15.840,00;7.452 CONTRATOS;14.786.237.936,49
0021/2023;31.000.002401.2023;26/12/2023;26/10/2024;10;SEIRH - 31.0001;12.285.441/0001-66 - TPF ENGENHARIA LTDA;SERVIÇO ESPECIALIZADO;410.905,52;7.452 CONTRATOS;14.786.237.936,49
0022/2023;31.000.002450.2023;26/12/2023;26/11/2024;11;SEIRH - 31.0001;17.469.843/0001-34 - INFRACEA CONTROLE DO ESPAÇO AÉREO, AEROPORTOS E CAPACITAÇÃO LTDA;SERVIÇO ESPECIALIZADO NA ÁREA DE ENGENHARIA;146.385,08;7.452 CONTRATOS;14.786.237.936,49
0030/2023;;22/12/2023;31/12/2023;0;FUNESBOM - 57.0001 ;15.453.449/0001-82 - RESGATECNICA COMERCIO DE EQUIPAMENTOS DE RESGATE LTDA;EQUIPAMENTOS;37.680,00;7.452 CONTRATOS;14.786.237.936,49
0049/2023;19.000.010462.2022;26/12/2023;31/12/2023;0;FUNESBOM - 57.0001 ;25.071.568/0001-24 - CENTRA MOVEIS S/A;MATERIAL DE ESCRITÓRIO;659.650,00;7.452 CONTRATOS;14.786.237.936,49
0054/2023;23.901.000173.2023;26/12/2023;31/12/2023;0;FUNESBOM - 57.0001 ;15.453.449/0001-82 - RESGATÉCNICA COMÉRCIO DE EQUIPAMENTOS DE RESGATE LTDA.;MATERIAL DE CONSUMO;481.500,00;7.452 CONTRATOS;14.786.237.936,49
0055/2023;23.901.000128.2023;26/12/2023;31/12/2023;0;FUNESBOM - 57.0001 ;18.611.238/0001-19 - R A DA SILVA;MATERIAL ESPORTIVO;53.118,00;7.452 CONTRATOS;14.786.237.936,49
0056/2023;23.901.000169.2023;22/12/2023;31/12/2023;0;FUNESBOM - 57.0001 ;15.453.449/0001-82 - RESGATÉCNICA COMÉRCIO DE EQUIP. DE RESGATE LTDA.;MATERIAL DE CONSUMO;77.040,00;7.452 CONTRATOS;14.786.237.936,49
0125/2023;31.202.001605.2023;26/12/2023;19/01/2025;13;SUPLAN - 31.0201;15.776.046/0001-74 -  IGOR SANTANA LUCENA ENGENHARIA E SERVIÇOS EIRELI - SANTENGE;OBRAS;5.970.613,97;7.452 CONTRATOS;14.786.237.936,49
0126/2023;31.202.004178.2022;26/12/2023;21/09/2024;9;SUPLAN - 31.0201;15.776.046/0001-74 - IGOR SANTANA LUCENA ENGENHARIA E SERVIÇOS EIRELI - SANTENGE ;OBRAS;485.713,86;7.452 CONTRATOS;14.786.237.936,49
0132/2023;26.201.037442.2023;26/12/2023;25/12/2024;12;DETRAN - 26.0101;27.595.780/0001-16 - CS BRASIL FROTAS S.A;OUTROS SERVIÇOS ESPECIALIZADOS;196.880,40;7.452 CONTRATOS;14.786.237.936,49
0135/2023;26.201.020368.2023;26/12/2023;26/12/2024;12;DETRAN - 26.0101;32.495.070/0001-54 - CLÍNICA DE PSICOLOGIA E TERAPIA OCUPACIONAL - LTDA - CLINAPSI;OUTROS SERVIÇOS ESPECIALIZADOS;2.766,60;7.452 CONTRATOS;14.786.237.936,49
0205/2023;30.000.002695.2023;26/12/2023;25/12/2024;12;SEAD - 19.0001;073.071.544-20 - SIMONE ROCHA DE ALMEIDA;LOCAÇÃO DE BENS IMÓVEIS;9.600,00;7.452 CONTRATOS;14.786.237.936,49
0206/2023;30.000.002676.2023;26/12/2023;25/12/2024;12;SEAD - 19.0001;111.522.814-53 - FRANCISCO FURTADO SOBRINHO;LOCAÇÃO DE BENS IMÓVEIS;26.400,00;7.452 CONTRATOS;14.786.237.936,49
0248/2023;31.206.037552.2023;26/12/2023;26/06/2024;6;CAGEPA - 31.0601;09.193.343/0001-94 - ASSOCIAÇÃO PARAIBANA DO MINISTERIO PUBLICO - APMP;PATROCÍNIOS;10.000,00;7.452 CONTRATOS;14.786.237.936,49
0302/2023;25.510.025101.2023;27/12/2023;24/06/2024;6;FPGS 25.5101;30.911.924/0001-00 - TEM DE TUDO COMERCIO E SERVICOS LTDA;GÊNEROS ALIMENTÍCIOS;278.168,50;7.452 CONTRATOS;14.786.237.936,49
0306/2023;25.510.006096.2023;27/12/2023;27/12/2024;12;FPGS 25.5101;09.291.683/0001-58 - NEFRUZA SERVICOS NEFROLOGICOS FIUZA CHAVES LTDA;SERVIÇO ESPECIALIZADO;668.903,88;7.452 CONTRATOS;14.786.237.936,49
0308/2023;25.510.001111.2023;27/12/2023;27/12/2024;12;FPGS 25.5101;02.502.563/0001-03 - GEORGE GERALDO CAMPELO ;SERVIÇO ESPECIALIZADO;9.467,50;7.452 CONTRATOS;14.786.237.936,49
0309/2023;25.510.014114.2023;27/12/2023;27/12/2024;12;FPGS 25.5101;04.198.254/0001-17 - MCR SISTEMAS E CONSULTORIA LTDA;EQUIPAMENTOS E SOFTWARES DE INFORMÁTICA;24.370,29;7.452 CONTRATOS;14.786.237.936,49
1724/2023;27.000.001382.2020;26/12/2023;26/03/2024;3;SEDH - 27.0001;45.329.312/0001-81 - BT COMÉRCIO INTELIGENTE LTDA;MATERIAL PERMANENTE;4.349,56;7.452 CONTRATOS;14.786.237.936,49
0030/2023; 20.000.300527.2023;21/12/2023;20/12/2026;36;SEFAZ - 20.0001;10.452.500/0002-07 - ACCERTE TECNOLOGIA DA  INFORMACAO LTDA;SERVIÇO ESPECIALIZADO NA ÁREA DE INFORMÁTICA;7.741.914,24;7.452 CONTRATOS;14.786.237.936,49
0039/2023;23.901.000088.2023;21/12/2023;31/12/2023;0;FUNESBOM - 57.0001 ;89.422.042/0001-24 - TRIEL-HT INDUSTRIAL E PARTICIPAÇÕES S/A;SERVIÇOS;114.000,00;7.452 CONTRATOS;14.786.237.936,49
0108/2023;31.205.009564.2023;22/12/2023;22/03/2024;3;SUDEMA - 34.0101;43.754.495/0001-57 - MAURA FERNANDES DA CUNHA MELO 07534258405;SERVIÇO ESPECIALIZADO;1.350,00;7.452 CONTRATOS;14.786.237.936,49
0113/2023;31.205.009187.2023;21/12/2023;21/12/2024;12;SUDEMA - 34.0101;09.164.369/0001-04 - ELMAR PROCESSAMENTO DE DADOS EIRELLI-EPP;SERVIÇO ESPECIALIZADO;9.600,00;7.452 CONTRATOS;14.786.237.936,49
0124/2023;31.202.004728.2023;22/12/2023;19/06/2024;6;SUPLAN - 31.0201;25.175.320/0001-03 - L&M SERVIÇOS LTDA;OBRAS;121.253,16;7.452 CONTRATOS;14.786.237.936,49
0128/2023;15.000.000140.2023;21/12/2023;31/12/2023;0;PM/PB - 15.0001;35.157.698/0001-38 - MWD NEGÓCIOS E SOLUÇÕES EIRELI;MATERIAL PERMANENTE;56.400,00;7.452 CONTRATOS;14.786.237.936,49
0130/2023;15.000.000158.2023;21/12/2023;21/12/2024;12;PM/PB - 15.0001;12.234.661/0001-60 - CLÍNICA VETERINÁRIA DOUTOR EDSON MAURO NÓBREGA DA CUNHA;SERVIÇO ESPECIALIZADO;57.135,24;7.452 CONTRATOS;14.786.237.936,49
0141/2023;26.201.033280.2023;21/12/2023;20/12/2024;12;DETRAN - 26.0101;09.366.790/0001-06 - EMPRESA PARAIBANA DE COMUNICAÇÃO;OUTROS SERVIÇOS ESPECIALIZADOS;1.500,00;7.452 CONTRATOS;14.786.237.936,49
0168/2023;22.204.003984.2023;22/12/2023;22/12/2028;60;UEPB - 35.0401;34.028.316/0019-32 - EMPRESA BRASILEIRA DE CORREIOS E TELÉGRAFOS;SERVIÇO ESPECIALIZADO;147.758,80;7.452 CONTRATOS;14.786.237.936,49
0190/2023;30.000.002046.2023;21/12/2023;20/12/2024;12;SEAD - 19.0001;007.660.924-37 - CARMEM REGINA CARMÉLIO CAVALCANTI;LOCAÇÃO DE BENS IMÓVEIS;65.040,00;7.452 CONTRATOS;14.786.237.936,49
0226/2023;31.206.028977.2023;22/12/2023;22/06/2024;6;CAGEPA - 31.0601;02.168.943/0001-53 - FUNDAÇÃO DE EDUCAÇÃO TECNOLOGICA E CULTURAL DA PARAIBA (FUNETEC PB);PATROCÍNIOS;25.000,00;7.452 CONTRATOS;14.786.237.936,49
0236/2023;31.206.014366.2023;22/12/2023;22/12/2024;12;CAGEPA - 31.0601;08.862.530/0002-31 - TIGRE MATERIAIS E SOLUÇÕES PARA CONSTRUÇÃO LTDA;MATERIAL DE USO ESPECÍFICO;232.404,96;7.452 CONTRATOS;14.786.237.936,49
0239/2023;31.206.020560.2023;22/12/2023;22/12/2024;12;CAGEPA - 31.0601;09.502.112/0001-15 - ELENET - SERVIÇOS TÉCNICOS LTDA - ME;MANUTENÇÃO E RECUPERAÇÃO;510.000,00;7.452 CONTRATOS;14.786.237.936,49
0249/2023;25.510.017101.2023 ;21/12/2023;21/12/2024;12;FPGS 25.5101;13.272.584/0001-04 - RESMEDICAL EQUIPAMENTOS HOSPITALARES LTDA;SERVIÇO ESPECIALIZADO;180.000,00;7.452 CONTRATOS;14.786.237.936,49
0251/2023;25.510.020112.2023;21/12/2023;21/12/2024;12;FPGS 25.5101;10.757.876/0001-30 - SR PRODUTOS MEDICOS LTDA;MATERIAL DA ÁREA DE SAÚDE;180.870,00;7.452 CONTRATOS;14.786.237.936,49
0252/2023;25.510.014063.2023;21/12/2023;21/12/2024;12;FPGS 25.5101;53.775.862/0001-52 - INSTRUTHERM INSTRUMENTOS DE MEDICAO LTDA;MATERIAL DE ESCRITÓRIO;8.029,00;7.452 CONTRATOS;14.786.237.936,49
0253/2023;25.510.014063.2023;21/12/2023;21/12/2024;12;FPGS 25.5101;35.044.590/0001-39 - JR COMERCIO DE UTILIDADES EIRELI;MATERIAL DE ESCRITÓRIO;31.549,00;7.452 CONTRATOS;14.786.237.936,49
0254/2023;25.510.014063.2023;21/12/2023;21/12/2024;12;FPGS 25.5101;41.132.410/0001-73 - MAIS EMPENHO EMPREENDIMENTOS LTDA;MATERIAL MÉDICO-HOSPITALAR;7.689,00;7.452 CONTRATOS;14.786.237.936,49
0263/2023;25.510.027118.2023;22/12/2023;21/12/2024;12;FPGS 25.5101;02.503.493/0001-08 - CAMPIMAGEM CENTRO DE DIAGNOSTICO POR IMAGEM DE CAMPINA GRANDE LTDA;SERVIÇO MÉDICO;4.996.800,00;7.452 CONTRATOS;14.786.237.936,49
0295/2023;22.204.011813.2023;22/12/2023;22/06/2024;6;UEPB - 35.0401;61.198.164/0001-60 - PORTO SEGURO COMPANHIA DE SEGUROS GERAIS,;SERVIÇO ESPECIALIZADO;10.465,31;7.452 CONTRATOS;14.786.237.936,49
0256/2023;25.510.014063.2023;21/12/2023;21/12/2024;12;FPGS 25.5101;47.852.784/0001-40 - TEIXEIRA DE ARRUDA LTDA ;MATERIAL DE ESCRITÓRIO;15.128,50;7.452 CONTRATOS;14.786.237.936,49
0257/2023;25.510.014063.2023;21/12/2023;21/12/2024;12;FPGS 25.5101;10.757.876/0001-30 - SR PRODUTOS MEDICOS LTDA;MATERIAL DE CONSUMO;16.420,00;7.452 CONTRATOS;14.786.237.936,49
0258/2023;25.510.014063.2023;21/12/2023;21/12/2024;12;FPGS 25.5101;43.392.983/0001-61 - UNICA SANEANTES LTDA;MATERIAL DE CONSUMO;31.198,00;7.452 CONTRATOS;14.786.237.936,49
